Gene stable ID	NCBI gene ID
ENSDARG00000038569	8325
ENSDARG00000059587	29
ENSDARG00000061352	53335
ENSDARG00000105432	23251
ENSDARG00000039064	140873
ENSDARG00000036136	54962
ENSDARG00000040286	84993
ENSDARG00000075842	51604
ENSDARG00000079829	1237
ENSDARG00000057830	29947
ENSDARG00000045815	55388
ENSDARG00000044091	5306
ENSDARG00000104404	2683
ENSDARG00000014321	2019
ENSDARG00000068457	7140
ENSDARG00000043404	79897
ENSDARG00000043404	202658
ENSDARG00000017329	8814
ENSDARG00000068141	8600
ENSDARG00000043646	6535
ENSDARG00000069968	9159
ENSDARG00000074533	54977
ENSDARG00000011862	9118
ENSDARG00000057249	10771
ENSDARG00000102766	55667
ENSDARG00000077783	6725
ENSDARG00000100256	23251
ENSDARG00000014673	8326
ENSDARG00000028816	23423
ENSDARG00000116895	219770
ENSDARG00000059805	54977
ENSDARG00000002634	2683
ENSDARG00000069311	3601
ENSDARG00000105009	23564
ENSDARG00000105363	1237
ENSDARG00000055022	23244
ENSDARG00000018619	79603
ENSDARG00000070378	10344
ENSDARG00000062446	140825
ENSDARG00000104344	133957
ENSDARG00000068366	55900
ENSDARG00000037020	23095
ENSDARG00000005220	10016
ENSDARG00000076320	338440
ENSDARG00000027687	29058
ENSDARG00000094627	6993
ENSDARG00000109371	5154
ENSDARG00000041140	1643
ENSDARG00000013842	55296
ENSDARG00000098144	340252
ENSDARG00000077410	4650
ENSDARG00000016782	10075
ENSDARG00000009549	23352
ENSDARG00000061424	55900
ENSDARG00000031387	79603
ENSDARG00000005179	80017
ENSDARG00000022660	84071
ENSDARG00000063095	8722
ENSDARG00000028348	5077
ENSDARG00000076964	81928
ENSDARG00000055433	112936
ENSDARG00000035665	8722
ENSDARG00000104487	100528021
ENSDARG00000104487	10588
ENSDARG00000077400	8241
ENSDARG00000078475	151230
ENSDARG00000078475	100526832
ENSDARG00000102911	126917
ENSDARG00000100401	30012
ENSDARG00000039392	65125
ENSDARG00000077818	9542
ENSDARG00000012369	157506
ENSDARG00000025024	5368
ENSDARG00000099200	8722
ENSDARG00000100222	7402
ENSDARG00000100927	4773
ENSDARG00000059763	2563
ENSDARG00000019778	6194
ENSDARG00000079672	79631
ENSDARG00000042210	10371
ENSDARG00000069674	29058
ENSDARG00000058730	157506
ENSDARG00000059455	165545
ENSDARG00000045976	51092
ENSDARG00000003631	9575
ENSDARG00000039181	80036
ENSDARG00000101696	285172
ENSDARG00000089026	8722
ENSDARG00000102729	54809
ENSDARG00000102729	219285
ENSDARG00000104495	5360
ENSDARG00000008287	92689
ENSDARG00000060522	55312
ENSDARG00000079067	64210
ENSDARG00000095698	8722
ENSDARG00000103158	8861
ENSDARG00000035663	8722
ENSDARG00000010192	5077
ENSDARG00000022564	10944
ENSDARG00000056717	57176
ENSDARG00000061794	83700
ENSDARG00000076767	5228
ENSDARG00000015495	51274
ENSDARG00000019181	3921
ENSDARG00000052618	57491
ENSDARG00000034600	55858
ENSDARG00000101465	4999
ENSDARG00000012072	27109
ENSDARG00000090883	2556
ENSDARG00000054797	207063
ENSDARG00000094469	55900
ENSDARG00000099950	9073
ENSDARG00000077057	114799
ENSDARG00000076312	9499
ENSDARG00000004132	10869
ENSDARG00000024189	5368
ENSDARG00000077839	22907
ENSDARG00000062056	55531
ENSDARG00000033466	6876
ENSDARG00000015823	112936
ENSDARG00000102202	493911
ENSDARG00000027799	221044
ENSDARG00000041835	6347
ENSDARG00000041835	6354
ENSDARG00000041835	6356
ENSDARG00000041835	6355
ENSDARG00000041835	6357
ENSDARG00000020895	573
ENSDARG00000101320	90326
ENSDARG00000103123	222950
ENSDARG00000103736	196996
ENSDARG00000041917	6347
ENSDARG00000041917	6354
ENSDARG00000041917	6356
ENSDARG00000041917	6355
ENSDARG00000041917	6357
ENSDARG00000057099	9061
ENSDARG00000027710	399814
ENSDARG00000005356	7301
ENSDARG00000102129	155051
ENSDARG00000033182	10124
ENSDARG00000017154	81928
ENSDARG00000041923	6347
ENSDARG00000041923	6354
ENSDARG00000041923	6356
ENSDARG00000041923	6355
ENSDARG00000041923	6357
ENSDARG00000102696	55735
ENSDARG00000078992	65125
ENSDARG00000112019	3908
ENSDARG00000079835	4123
ENSDARG00000093079	5624
ENSDARG00000054155	5111
ENSDARG00000059642	64419
ENSDARG00000011196	55735
ENSDARG00000036940	8722
ENSDARG00000114589	83700
ENSDARG00000016399	83732
ENSDARG00000043468	94120
ENSDARG00000040466	7429
ENSDARG00000038258	5624
ENSDARG00000010728	85477
ENSDARG00000062101	126917
ENSDARG00000078751	7174
ENSDARG00000075709	4709
ENSDARG00000014522	1004
ENSDARG00000008946	133957
ENSDARG00000099534	55148
ENSDARG00000058053	710
ENSDARG00000045909	6993
ENSDARG00000076541	7123
ENSDARG00000007320	6129
ENSDARG00000040990	57695
ENSDARG00000020001	5886
ENSDARG00000061379	202333
ENSDARG00000101702	1139
ENSDARG00000103466	10344
ENSDARG00000030417	27039
ENSDARG00000099500	7123
ENSDARG00000033126	79706
ENSDARG00000061231	8722
ENSDARG00000088121	27039
ENSDARG00000099918	10124
ENSDARG00000077910	8722
ENSDARG00000034577	207063
ENSDARG00000005536	55148
ENSDARG00000035882	10247
ENSDARG00000079324	338440
ENSDARG00000043757	9991
ENSDARG00000110040	3908
ENSDARG00000089981	81847
ENSDARG00000043467	54539
ENSDARG00000098252	151835
ENSDARG00000045408	6876
ENSDARG00000097819	55900
ENSDARG00000105214	23287
ENSDARG00000060256	91801
ENSDARG00000091512	4798
ENSDARG00000076779	51306
ENSDARG00000061774	653657
ENSDARG00000100617	54809
ENSDARG00000100617	219285
ENSDARG00000098036	90326
ENSDARG00000009459	339665
ENSDARG00000004869	5179
ENSDARG00000075916	55900
ENSDARG00000010137	8861
ENSDARG00000000540	54529
ENSDARG00000055917	123606
ENSDARG00000041919	6347
ENSDARG00000041919	6354
ENSDARG00000041919	6356
ENSDARG00000041919	6355
ENSDARG00000041919	6357
ENSDARG00000056784	326
ENSDARG00000075545	55900
ENSDARG00000101808	9782
ENSDARG00000077116	79616
ENSDARG00000099390	3908
ENSDARG00000036045	5179
ENSDARG00000067591	5813
ENSDARG00000010981	51304
ENSDARG00000070228	1021
ENSDARG00000091609	27290
ENSDARG00000110192	7402
ENSDARG00000101051	8722
ENSDARG00000113433	285172
ENSDARG00000003902	8722
ENSDARG00000098578	5154
ENSDARG00000105344	27039
ENSDARG00000000394	9782
ENSDARG00000079175	177
ENSDARG00000030411	155051
ENSDARG00000100353	202333
ENSDARG00000011703	9575
ENSDARG00000094857	1734
ENSDARG00000117086	79631
ENSDARG00000000019	7328
ENSDARG00000099614	5813
ENSDARG00000086585	9542
ENSDARG00000042341	26175
ENSDARG00000002487	64318
ENSDARG00000102087	10940
ENSDARG00000101214	27039
ENSDARG00000020845	7145
ENSDARG00000077881	10752
ENSDARG00000110291	6840
ENSDARG00000077664	8722
ENSDARG00000007941	3205
ENSDARG00000015536	55553
ENSDARG00000029480	92521
ENSDARG00000103340	1192
ENSDARG00000005485	221044
ENSDARG00000025043	9319
ENSDARG00000100060	23016
ENSDARG00000104259	25837
ENSDARG00000045910	57583
ENSDARG00000077479	4439
ENSDARG00000100649	10333
ENSDARG00000110069	5154
ENSDARG00000011648	6632
ENSDARG00000015592	165257
ENSDARG00000040815	25987
ENSDARG00000034773	23310
ENSDARG00000101522	1139
ENSDARG00000044669	50809
ENSDARG00000098114	5476
ENSDARG00000052242	2334
ENSDARG00000099522	54809
ENSDARG00000099522	219285
ENSDARG00000014651	6840
ENSDARG00000115359	5228
ENSDARG00000090418	151525
ENSDARG00000062983	84893
ENSDARG00000039338	90480
ENSDARG00000060788	389257
ENSDARG00000112451	348654
ENSDARG00000017006	23258
ENSDARG00000031768	6095
ENSDARG00000055120	1508
ENSDARG00000016319	735
ENSDARG00000060480	197131
ENSDARG00000025920	7074
ENSDARG00000019371	2321
ENSDARG00000035890	2517
ENSDARG00000055875	55824
ENSDARG00000086944	100129654
ENSDARG00000086411	10772
ENSDARG00000009342	81567
ENSDARG00000101453	116969
ENSDARG00000101453	417
ENSDARG00000012275	83473
ENSDARG00000025091	7430
ENSDARG00000061977	8495
ENSDARG00000012453	55328
ENSDARG00000000394	9782
ENSDARG00000023950	9326
ENSDARG00000102365	162699
ENSDARG00000102365	51224
ENSDARG00000102365	728929
ENSDARG00000102365	100506888
ENSDARG00000112452	1387
ENSDARG00000076060	1730
ENSDARG00000077782	340485
ENSDARG00000094587	255349
ENSDARG00000094258	29099
ENSDARG00000112944	1794
ENSDARG00000021086	195828
ENSDARG00000108038	1794
ENSDARG00000039697	57698
ENSDARG00000015805	84952
ENSDARG00000041397	8892
ENSDARG00000054373	10331
ENSDARG00000041301	1417
ENSDARG00000097772	9786
ENSDARG00000101808	9782
ENSDARG00000012387	5160
ENSDARG00000078854	7991
ENSDARG00000075454	3067
ENSDARG00000091906	2171
ENSDARG00000091906	5375
ENSDARG00000091906	646486
ENSDARG00000091906	646480
ENSDARG00000091906	2167
ENSDARG00000108953	2208
ENSDARG00000096651	56927
ENSDARG00000007764	23008
ENSDARG00000103480	2208
ENSDARG00000070414	2208
ENSDARG00000079623	80019
ENSDARG00000095671	340602
ENSDARG00000036471	199699
ENSDARG00000023287	3293
ENSDARG00000058100	10331
ENSDARG00000052304	7384
ENSDARG00000061974	79977
ENSDARG00000056913	5118
ENSDARG00000003994	143425
ENSDARG00000087636	3150
ENSDARG00000058088	9131
ENSDARG00000100503	6654
ENSDARG00000092979	9063
ENSDARG00000076534	79839
ENSDARG00000052520	166929
ENSDARG00000039989	154007
ENSDARG00000095420	340602
ENSDARG00000100364	116969
ENSDARG00000100364	417
ENSDARG00000069461	440400
ENSDARG00000089837	11046
ENSDARG00000075376	129049
ENSDARG00000028259	219
ENSDARG00000028259	221
ENSDARG00000100564	64374
ENSDARG00000079608	130367
ENSDARG00000009285	6138
ENSDARG00000022772	23762
ENSDARG00000102580	54734
ENSDARG00000069114	81622
ENSDARG00000014246	4855
ENSDARG00000096620	51175
ENSDARG00000041304	22906
ENSDARG00000034555	117583
ENSDARG00000052247	54784
ENSDARG00000099527	28512
ENSDARG00000060756	57406
ENSDARG00000038559	3005
ENSDARG00000003963	9618
ENSDARG00000011948	3643
ENSDARG00000010700	53342
ENSDARG00000104295	57584
ENSDARG00000102742	658
ENSDARG00000043226	4784
ENSDARG00000079933	283537
ENSDARG00000059177	30851
ENSDARG00000010281	64328
ENSDARG00000038814	4336
ENSDARG00000058719	79677
ENSDARG00000075641	55240
ENSDARG00000017299	2171
ENSDARG00000017299	5375
ENSDARG00000017299	646486
ENSDARG00000017299	646480
ENSDARG00000046092	2208
ENSDARG00000036135	8424
ENSDARG00000024195	55893
ENSDARG00000053122	134829
ENSDARG00000060551	9252
ENSDARG00000039949	387758
ENSDARG00000099273	124944
ENSDARG00000061784	9938
ENSDARG00000110186	64866
ENSDARG00000043416	7127
ENSDARG00000099528	56931
ENSDARG00000111069	55203
ENSDARG00000008186	6850
ENSDARG00000058162	9468
ENSDARG00000102777	7060
ENSDARG00000098625	1946
ENSDARG00000077313	283537
ENSDARG00000092671	117583
ENSDARG00000087893	54476
ENSDARG00000021483	8555
ENSDARG00000092463	57414
ENSDARG00000023117	57120
ENSDARG00000078188	84067
ENSDARG00000057429	383
ENSDARG00000021389	4855
ENSDARG00000092810	55620
ENSDARG00000113547	64116
ENSDARG00000007382	80019
ENSDARG00000032296	51371
ENSDARG00000100795	7079
ENSDARG00000014329	4869
ENSDARG00000059812	25942
ENSDARG00000060542	55366
ENSDARG00000043281	55620
ENSDARG00000036784	149951
ENSDARG00000060069	51015
ENSDARG00000071384	23657
ENSDARG00000071384	157724
ENSDARG00000074696	94240
ENSDARG00000090337	23082
ENSDARG00000037097	23657
ENSDARG00000037097	157724
ENSDARG00000078178	116969
ENSDARG00000078178	417
ENSDARG00000044345	23191
ENSDARG00000016721	6389
ENSDARG00000099972	9972
ENSDARG00000002311	2171
ENSDARG00000002311	5375
ENSDARG00000002311	646486
ENSDARG00000002311	646480
ENSDARG00000074507	51115
ENSDARG00000095963	2208
ENSDARG00000053091	1601
ENSDARG00000053091	112267931
ENSDARG00000029692	22902
ENSDARG00000033871	91319
ENSDARG00000030532	23365
ENSDARG00000017086	142689
ENSDARG00000013168	4855
ENSDARG00000104207	9468
ENSDARG00000060207	84231
ENSDARG00000116994	1794
ENSDARG00000102537	2208
ENSDARG00000008890	1497
ENSDARG00000062465	401027
ENSDARG00000070477	27000
ENSDARG00000074790	55969
ENSDARG00000074790	100527943
ENSDARG00000034650	2173
ENSDARG00000100420	219931
ENSDARG00000073761	80179
ENSDARG00000097537	11059
ENSDARG00000040614	91404
ENSDARG00000040396	9275
ENSDARG00000061091	8225
ENSDARG00000026926	6094
ENSDARG00000028857	129049
ENSDARG00000045945	6854
ENSDARG00000003449	10846
ENSDARG00000003449	90632
ENSDARG00000002021	5834
ENSDARG00000087196	387758
ENSDARG00000094469	51427
ENSDARG00000094469	339318
ENSDARG00000103428	4967
ENSDARG00000010555	5160
ENSDARG00000036071	2968
ENSDARG00000029556	55683
ENSDARG00000038964	9618
ENSDARG00000099113	10497
ENSDARG00000071395	818
ENSDARG00000062750	1828
ENSDARG00000062750	147409
ENSDARG00000062750	1830
ENSDARG00000061718	619279
ENSDARG00000096777	203076
ENSDARG00000030125	54984
ENSDARG00000030125	83595
ENSDARG00000098144	10793
ENSDARG00000015851	5411
ENSDARG00000034215	54734
ENSDARG00000069318	22979
ENSDARG00000068893	29081
ENSDARG00000029239	143425
ENSDARG00000113935	117583
ENSDARG00000114226	4855
ENSDARG00000105044	116969
ENSDARG00000105044	417
ENSDARG00000020072	7060
ENSDARG00000010770	6666
ENSDARG00000005643	23464
ENSDARG00000015686	654
ENSDARG00000007406	401
ENSDARG00000111323	116969
ENSDARG00000111323	417
ENSDARG00000111805	7079
ENSDARG00000012932	27430
ENSDARG00000010673	147166
ENSDARG00000078922	100127206
ENSDARG00000045269	5805
ENSDARG00000102617	7079
ENSDARG00000008816	2747
ENSDARG00000020944	7430
ENSDARG00000079264	8938
ENSDARG00000088073	90362
ENSDARG00000009594	9975
ENSDARG00000002523	84263
ENSDARG00000041976	112744
ENSDARG00000111877	9275
ENSDARG00000039677	1823
ENSDARG00000039677	1824
ENSDARG00000114377	116969
ENSDARG00000114377	417
ENSDARG00000020788	84174
ENSDARG00000032919	54927
ENSDARG00000040553	27346
ENSDARG00000097718	10809
ENSDARG00000111357	8740
ENSDARG00000069956	64236
ENSDARG00000040556	90410
ENSDARG00000002797	116969
ENSDARG00000002797	417
ENSDARG00000104609	1387
ENSDARG00000044923	55284
ENSDARG00000090301	84196
ENSDARG00000104222	3636
ENSDARG00000090195	345778
ENSDARG00000063197	440270
ENSDARG00000045888	38
ENSDARG00000011312	6788
ENSDARG00000063101	4122
ENSDARG00000033516	22979
ENSDARG00000098911	91057
ENSDARG00000043933	112744
ENSDARG00000071048	8838
ENSDARG00000034933	54927
ENSDARG00000003820	9975
ENSDARG00000104162	3207
ENSDARG00000090501	116969
ENSDARG00000090501	417
ENSDARG00000036214	1617
ENSDARG00000015161	124944
ENSDARG00000098666	23082
ENSDARG00000079185	116969
ENSDARG00000079185	417
ENSDARG00000077768	10892
ENSDARG00000068812	51284
ENSDARG00000111367	340602
ENSDARG00000043865	26520
ENSDARG00000059423	158471
ENSDARG00000038870	10569
ENSDARG00000069334	3268
ENSDARG00000117123	116969
ENSDARG00000117123	417
ENSDARG00000052494	54510
ENSDARG00000093521	10331
ENSDARG00000112842	2208
ENSDARG00000034270	4967
ENSDARG00000019752	6094
ENSDARG00000053512	1415
ENSDARG00000038567	115939
ENSDARG00000079154	116969
ENSDARG00000079154	417
ENSDARG00000004260	8065
ENSDARG00000019328	91584
ENSDARG00000069701	55203
ENSDARG00000035389	115548
ENSDARG00000100897	5159
ENSDARG00000055912	81614
ENSDARG00000045391	10666
ENSDARG00000075706	4336
ENSDARG00000041919	6346
ENSDARG00000044797	925
ENSDARG00000076673	1832
ENSDARG00000007009	3207
ENSDARG00000045696	6150
ENSDARG00000045696	107987373
ENSDARG00000070603	259217
ENSDARG00000075545	51427
ENSDARG00000075545	339318
ENSDARG00000058606	102724428
ENSDARG00000101733	130074
ENSDARG00000104193	116969
ENSDARG00000104193	417
ENSDARG00000103759	51011
ENSDARG00000071774	9521
ENSDARG00000038985	203611
ENSDARG00000038270	54872
ENSDARG00000046107	57524
ENSDARG00000003069	55727
ENSDARG00000006474	283726
ENSDARG00000043873	5926
ENSDARG00000017821	140628
ENSDARG00000045360	55284
ENSDARG00000109259	2171
ENSDARG00000109259	5375
ENSDARG00000109259	646486
ENSDARG00000109259	646480
ENSDARG00000070598	387712
ENSDARG00000037558	142689
ENSDARG00000069745	54733
ENSDARG00000110807	340602
ENSDARG00000101481	2171
ENSDARG00000101481	5375
ENSDARG00000101481	646486
ENSDARG00000101481	646480
ENSDARG00000101481	2167
ENSDARG00000114803	1794
ENSDARG00000088293	8447
ENSDARG00000103800	5575
ENSDARG00000068104	4855
ENSDARG00000057273	240
ENSDARG00000044011	150165
ENSDARG00000099111	157724
ENSDARG00000053119	10924
ENSDARG00000097530	389610
ENSDARG00000101018	81490
ENSDARG00000019362	5725
ENSDARG00000035282	83460
ENSDARG00000103253	55344
ENSDARG00000020204	4771
ENSDARG00000061304	55607
ENSDARG00000037061	219
ENSDARG00000037061	221
ENSDARG00000043482	10331
ENSDARG00000112895	60436
ENSDARG00000058038	256364
ENSDARG00000037195	7253
ENSDARG00000089805	54510
ENSDARG00000026068	126003
ENSDARG00000115571	340602
ENSDARG00000033949	157574
ENSDARG00000062060	10691
ENSDARG00000035148	80228
ENSDARG00000087197	6098
ENSDARG00000036897	166929
ENSDARG00000035606	221
ENSDARG00000074749	26154
ENSDARG00000104100	658
ENSDARG00000070425	4855
ENSDARG00000075916	51427
ENSDARG00000075916	339318
ENSDARG00000104458	440400
ENSDARG00000056206	818
ENSDARG00000100083	10910
ENSDARG00000101602	10113
ENSDARG00000025891	6473
ENSDARG00000043094	2778
ENSDARG00000097819	51427
ENSDARG00000097819	339318
ENSDARG00000039970	1269
ENSDARG00000092285	347549
ENSDARG00000092285	441495
ENSDARG00000092285	389857
ENSDARG00000106560	157777
ENSDARG00000059944	114898
ENSDARG00000059411	3613
ENSDARG00000063233	11177
ENSDARG00000062651	51530
ENSDARG00000069472	337876
ENSDARG00000100166	57524
ENSDARG00000040610	157724
ENSDARG00000069998	116969
ENSDARG00000069998	417
ENSDARG00000103466	6369
ENSDARG00000015153	29062
ENSDARG00000060113	55893
ENSDARG00000074270	85460
ENSDARG00000103011	123720
ENSDARG00000029133	10426
ENSDARG00000033647	6598
ENSDARG00000114229	340602
ENSDARG00000011152	11102
ENSDARG00000023448	79623
ENSDARG00000086740	5264
ENSDARG00000019404	513
ENSDARG00000007697	2173
ENSDARG00000070894	57406
ENSDARG00000060911	158405
ENSDARG00000046142	2208
ENSDARG00000000651	64172
ENSDARG00000114649	1794
ENSDARG00000056720	57050
ENSDARG00000000516	150709
ENSDARG00000056757	64116
ENSDARG00000058212	4102
ENSDARG00000058212	266740
ENSDARG00000061629	79133
ENSDARG00000040584	221143
ENSDARG00000042308	23370
ENSDARG00000026548	113612
ENSDARG00000005004	159963
ENSDARG00000035858	1265
ENSDARG00000058943	64866
ENSDARG00000090686	54733
ENSDARG00000040266	6666
ENSDARG00000055893	2171
ENSDARG00000055893	5375
ENSDARG00000055893	646486
ENSDARG00000055893	646480
ENSDARG00000055893	2167
ENSDARG00000013881	55300
ENSDARG00000087950	55677
ENSDARG00000035879	2517
ENSDARG00000030289	4855
ENSDARG00000087558	4855
ENSDARG00000023532	54984
ENSDARG00000104531	29063
ENSDARG00000010097	203074
ENSDARG00000026801	27067
ENSDARG00000041923	6346
ENSDARG00000057498	203074
ENSDARG00000111747	63915
ENSDARG00000103663	4814
ENSDARG00000041917	6346
ENSDARG00000078784	23269
ENSDARG00000018061	79661
ENSDARG00000005749	23066
ENSDARG00000102725	91057
ENSDARG00000069463	239
ENSDARG00000038074	51614
ENSDARG00000031907	5725
ENSDARG00000035577	8760
ENSDARG00000041835	6346
ENSDARG00000099887	84174
ENSDARG00000075673	57584
ENSDARG00000029157	9439
ENSDARG00000063032	220164
ENSDARG00000109683	116969
ENSDARG00000109683	417
ENSDARG00000053291	55629
ENSDARG00000033861	51091
ENSDARG00000061424	51427
ENSDARG00000061424	339318
ENSDARG00000090830	124842
ENSDARG00000061120	124935
ENSDARG00000111755	2208
ENSDARG00000071004	26090
ENSDARG00000029252	6741
ENSDARG00000074955	4928
ENSDARG00000018809	171586
ENSDARG00000015907	285761
ENSDARG00000036848	124935
ENSDARG00000061836	4784
ENSDARG00000022309	1832
ENSDARG00000068366	51427
ENSDARG00000068366	339318
ENSDARG00000022424	375611
ENSDARG00000020278	157724
ENSDARG00000093457	340602
ENSDARG00000104306	197131
ENSDARG00000071524	3643
ENSDARG00000070378	6369
ENSDARG00000100591	6666
ENSDARG00000099768	253650
ENSDARG00000079637	115701
ENSDARG00000051731	91442
ENSDARG00000076928	54790
ENSDARG00000104886	54919
ENSDARG00000087032	140893
ENSDARG00000016200	57761
ENSDARG00000045683	55231
ENSDARG00000100913	23365
ENSDARG00000101074	2747
ENSDARG00000079716	25942
ENSDARG00000078864	26524
ENSDARG00000105050	92799
ENSDARG00000103017	389610
ENSDARG00000079244	284098
ENSDARG00000016463	122553
ENSDARG00000058342	79977
ENSDARG00000014536	5201
ENSDARG00000078430	7074
ENSDARG00000104030	6883
ENSDARG00000056985	7179
ENSDARG00000058160	7127
ENSDARG00000029381	219
ENSDARG00000099182	79722
ENSDARG00000086670	79664
ENSDARG00000021909	222008
ENSDARG00000113562	340602
ENSDARG00000052057	5118
ENSDARG00000094959	116969
ENSDARG00000094959	417
ENSDARG00000079624	139285
ENSDARG00000043982	51175
ENSDARG00000011157	23370
ENSDARG00000032929	1421
ENSDARG00000032929	1420
ENSDARG00000032929	1419
ENSDARG00000032929	1418
ENSDARG00000115939	400673
ENSDARG00000104071	51501
ENSDARG00000062146	23185
ENSDARG00000015343	5226
ENSDARG00000103677	11054
ENSDARG00000016011	56261
ENSDARG00000035819	23410
ENSDARG00000100294	140467
ENSDARG00000075299	195827
ENSDARG00000060222	6324
ENSDARG00000098663	9965
ENSDARG00000057911	70
ENSDARG00000042833	117584
ENSDARG00000088828	85315
ENSDARG00000099133	8633
ENSDARG00000060095	3745
ENSDARG00000092202	27429
ENSDARG00000060705	64324
ENSDARG00000054302	30844
ENSDARG00000035859	51129
ENSDARG00000041570	54148
ENSDARG00000033367	50484
ENSDARG00000007671	64109
ENSDARG00000076572	1421
ENSDARG00000076572	1420
ENSDARG00000076572	1419
ENSDARG00000076572	1418
ENSDARG00000005335	55867
ENSDARG00000005335	116085
ENSDARG00000069018	1581
ENSDARG00000069917	221150
ENSDARG00000036214	57054
ENSDARG00000036214	57055
ENSDARG00000036214	57135
ENSDARG00000094792	11344
ENSDARG00000054032	53917
ENSDARG00000056719	340024
ENSDARG00000101495	133688
ENSDARG00000087863	960
ENSDARG00000037815	9331
ENSDARG00000069601	401548
ENSDARG00000044441	4648
ENSDARG00000076780	36
ENSDARG00000058738	65010
ENSDARG00000102062	140467
ENSDARG00000011171	57451
ENSDARG00000062532	253725
ENSDARG00000079263	140467
ENSDARG00000014496	55503
ENSDARG00000063194	132660
ENSDARG00000060944	154214
ENSDARG00000021633	6450
ENSDARG00000021633	106865373
ENSDARG00000023659	2553
ENSDARG00000104995	133688
ENSDARG00000099640	8726
ENSDARG00000099342	58985
ENSDARG00000006601	23254
ENSDARG00000092625	27429
ENSDARG00000075021	445577
ENSDARG00000075021	23196
ENSDARG00000087319	27439
ENSDARG00000019459	1998
ENSDARG00000007824	23261
ENSDARG00000059044	7957
ENSDARG00000030844	8462
ENSDARG00000044596	27315
ENSDARG00000025866	728780
ENSDARG00000052150	90655
ENSDARG00000094018	257160
ENSDARG00000016527	85441
ENSDARG00000025559	92960
ENSDARG00000075884	257218
ENSDARG00000025983	84456
ENSDARG00000077205	140467
ENSDARG00000036298	6207
ENSDARG00000032496	5444
ENSDARG00000032496	5446
ENSDARG00000032496	5445
ENSDARG00000024433	654231
ENSDARG00000040738	1421
ENSDARG00000040738	1420
